Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date,SLA_Postal,SLA_Latitude,SLA_Longitude,SLA_Address,SLA_Building,SLA_Road_Name,SLA_Search_Query,SLA_Status,SLA_Missing_Fields,SLA_Is_Complete,Jigtech_Search_TOP_Year,Jigtech_Search_Status,Jigtech_Search_Query_Masked,Jigtech_Search_Log_Encrypted,Jigtech_Search_Source_URL,Building_Age_Years,Nearest_MRT_Distance_KM,Nearest_MRT_Name,Nearest_Supermarket_Distance_KM,Nearest_Supermarket_Name,Nearest_School_Distance_KM,Nearest_School_Name
THE RAINFOREST,CHOA CHU KANG AVENUE 3,23,Executive Condominium,3.0,"5,000",130 to 140,"1,400 to 1,500",Jun-26,689871,1.383521327220587,103.7489971700361,335 CHOA CHU KANG AVENUE 3 THE RAINFOREST SINGAPORE 689871,THE RAINFOREST,CHOA CHU KANG AVENUE 3,THE RAINFOREST Singapore,matched,,True,2015,matched,[masked:6cdd7240e18a],gAAAAABqkEP09iBNLdCAHyOcZpCiwwhcKbzXCkQx0k3i5RlosHfOAD8-ApNru3w_e2ZGxu8itEJo8IUAcOpiQykeb1Qc6QpqBF3fSE78qR8w1HUPdm1RbEK2AP2iP6oD-yYG1df-g9XBYPB2RzY-iMAawK_VP8jLvRzlpZrBuhlu-AyIDeP4HWy2lvFCjlBj0H4T6LCjRqCzGSjbgQSOvCLLd_zixyRMZKmaXfHU1wrgb5vOol3Utf1hhpPYEC98njrdTqSROPowmH6CaX0NzrmDYeONZxExRJMeZfzNksPgpaCZU3Lj3aBDmExDNaU6Mw1tNhhS534oXfF9oDU9mRWyZmme5TCseYsiQIiyOVdvlcBVhKYWyogGq2qt7285Lp57WfKpKdgE61UIotynVRsVeC7ZXPvuTZ_4F-x1W4UOo9Zta6PAmLmWfDBRPXntb8UIHO1rLvx9nGtzUGWExXq7uAm5LynOJAfUKUbS2rwRSm7UxNbhUq7oHy1WgZLd9_swVTt6T18MWk0b-ESFEVZ7GgYhKOqYodjafF8Jy2TxrSx4djcbnHPrklJlgPkSS1ekHBzfOTYZs4f_ymR-za_twRzbZK5G2bAPr05mjh2Ik6GeuQ_Bo7mIkGTU8AMR7_s7Eagfw1G8UddS5yDnUFsgN7QrWGVcWtHE-INghmhCjmCdboD-9-xdCHuMW4M3P1CBPhxixNSGc9mTQK4Px6FzsmdA_glNycf67OqTxZ5Yrky79yn68roJRRDU7l5QVOGuJPDakydMd-YaeXdszDUdeauwGhjR7ikUuANc4rf9FB5HeEOnFGNPcMK3wifkhl_v2jlWjVpJBunF-LG5VWU6R34qVWJj4r-GyBTzjU4QOAli1VUPc1JQnwrQsSGJIjDKNG2-tPga8_PsVsISIw2yO7FU070JWhV5zLeimNQWPl4vSfkhxt-bbsXxOo2dOcEbJ6wDl6Nbc4MO0zckUFvVYO9rwr9czfbdI1g-YBhddg6_ntwIhDbt_RZbTZCOPVY4-PpFQ6JptML3daHKjOrPQRGyQWr6bjCdQBUxbEtRblcWvooO0NP8Dj2AFlK4lA9Zx-riUQwK,https://shioknest.com/property/the-rainforest/review?lang=en,11,0.51,CHOA CHU KANG LRT STATION (BP1),1.11,NTUC FAIRPRICE LIMBANG SHOPPING CENTRE,0.37,SOUTH VIEW PRIMARY SCHOOL
SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,18,Executive Condominium,3.0,"4,100",110 to 120,"1,200 to 1,300",Jun-26,529861,1.341695381781125,103.9580807552141,1 SIMEI STREET 4 SIMEI GREEN CONDOMINIUM SINGAPORE 529861,SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,SIMEI GREEN CONDOMINIUM Singapore,matched,,True,1999,matched,[masked:34fc60c35cd0],gAAAAABqkEP0-Yl81yF7VDViNIpjSMenIUbjEq_IdeQ--GNWPTJ36feCMCv4yx2VDoqDyQfweEwhoOu9LBdk7kXDs4n56yU5vGW5zQ8f8OLnhly1YmBxuT2J6tKhvdu6weB-WGideFpZ-hFa0AuUxxv5EN21yD3JVPZZoEWbYjsx04xwBk85V5tfcBN8ZhhqowC8G2xz8cDpk9Sx8eCVlsh-LR-9ykUkH49HbM_HI0k1dyKkPsvGhE8uPb5EyAWdqd5gzxq9iL8WWCMFSxo3F4oLiXucXS8VRl2t8KK5TCHsdJRWqRx5e7f8mmzaHW2Tt4iw0AC1OnieMxP8F1k33cWlIv0mH9l-FbM2v2zFOR85ZCeb_0rbDu6XrrTim-oUMdhy51um_mvjQYyQeMmbZ_F10ig7727A3nkOQZFkp_E-Qf-AhXZxYFzw9nH94rwjGNkTRvYs582IoxznTcxjTxXQGHNKwGLePuLZv1C3R343FPcd04Lu7pZvY8J3b8MvypWorXh5T2v8k9LcfKcw7eG7e45BunjL2NpMRJo1ZB8iXaxn40-l9nl-KZBNt70a1VKX5yEPgqukiDo3USKqBhmz6AnRwLuiAmUYyK2nolkRl1XvcHwC3BJk5dyth3EMBiLrp5Dao37ctC_0DmoKvv1eALYrW-TzTlb2xd0GhGHIxmSUVQG1YMQ9vxGuqYaRNI7Eqq2Fx0qbwdytLtFG7pkq4Tf1XsAjDPZL2936CLuXNsFxoSPcIbSt9aMsQ2U9IxoVhKfTP9fMvHeZWzY78dQD0HJXVYXsAgIc1ldqAcpHWgHfXTqmbBpdXPHPRw0GXTsN7IXozblGbUAKCx0NwmduJXnSVjvDwrGuCwb_Xt2XYKHPVJ0zHEboocvtRvFwaE9sioLqFIxVSNo_apKk_XsOfDLa9rXbGw==,https://property.nestia.com/singapore-condo/Simei-Green/2270,27,0.55,SIMEI MRT STATION (EW3),2.91,SHENG SIONG LOYANG POINT,0.59,CHANGKAT CHANGI SECONDARY SCHOOL
PINEVALE,TAMPINES STREET 73,18,Executive Condominium,3.0,"4,600",120 to 130,"1,200 to 1,300",Jun-26,528823,1.357964095715889,103.9330429543547,2 TAMPINES STREET 73 PINEVALE SINGAPORE 528823,PINEVALE,TAMPINES STREET 73,PINEVALE Singapore,matched,,True,1999,matched,[masked:febc98c7b130],gAAAAABqkEP1Uc85Ylir9j8YgYxj0acYE8Dqs6j6m8Gstriu24m69N1Vbxynl2VLT6uor-_I6j1Nyg9-3QQkPU4jZMe-eFMDhYGl3S468FOUh_Xgi_gMbPbj4IUEPU2nU7VtfgvI6d-WhZrkyv3RSVFeORnZAeVVET-dCJJe3zRwF6PYDFBdtHhTKxmYVnp38ild_VbMc3tUDf_15g2dI37tp0NZYfzQ_zuzsbWeUGUzFq_iNI1D8rO3tsU5JP2sGM4fGRteMpkm2n0CqBDAit1JEwr1-qzwyIdzI2XLxQGHtDW2ZLzcZWmllAg9QmMoC2OYO72FkS1gb5RyMiTPDuWoqXzRWO2wBSTFZFBtgx-4NygpqFcsrFJzDRPTSIoaK7wFqH2x6jfKWMZwvNrqPInT5-qjbcXiKssPWrOiEQuoqfizzO3WJMMhscEUoh0xyPvTwaEZXo4VdpRmgNId-hxgepgoKdBTJzOhtowDAM0fmIjfSVjvcgbPHUwXKDbqMOOsEwdIKNJMRXkCWfDfG37ufl9LF1dTwilA4-IGv1Wb606qPnPOTUbZGuFpwN1EPyqjSBy9D-eZ4gFka-b9HS7ODimP2Cq8mv7CTO5Z2vK7gKmHnr9jn6mweB1XLmCR7ya2PeHesmaGieeEEgV_Mdkis6LDe3-kXcH9xo3cpQnXYZZOGsJ660YrY5sbqJTFE1e_2IWC-7-NXLNHUZyssuZFY2-6D1kTF0CtpQEaML6LIqYiszSPofrc-5W1GXAuN-vxzc9rH-ePtIjMeQio6kfvWhNa5lZSAXTvTxnbiHRN_-C_gglar9ppyUb96ayPihz2y_B6srZ9cpFZgHcZjrq-4ExPVkH_QoBdA0dAzv2Xd0HgNL3sLbSsuIPza8veI_MnPAc6s31U1kKBuPoittZgg71HbW8bYo1OV76MQUqlyuzy8gSYjVLabqqc8NazD4Ru7Y8s5rDaYbuPox7kmC0zR_5DYcvE5L_gf0LYutUjwVHMkGSgnGHHHBTlbYO_3KQG2uWN8_Td4iRkvUMOQ6Sftg7SGUMOBtL-jZMfYvppAQkyqHse4ls=,https://www.99.co/singapore/condos-apartments/pinevale,27,1.51,TAMPINES WEST MRT STATION (DT31),0.33,NTUC FAIRPRICE TAMPINES CENTRAL COMMUNITY COMPLEX,0.91,ANGSANA PRIMARY SCHOOL
ECOPOLITAN,PUNGGOL WALK,19,Executive Condominium,3.0,"4,000",100 to 110,"1,000 to 1,100",Jun-26,828748,1.390654591613188,103.9127525677816,19 PUNGGOL FIELD WALK WATERWOODS SINGAPORE 828748,WATERWOODS,PUNGGOL FIELD WALK,PUNGGOL WALK 19 Singapore,matched,,True,2016,matched,[masked:2cbe2e80833c],gAAAAABqkEP1PnWyACUIV-sUci4uXMcFm7O-M5WvErnDXc9gmEgsRDZtHpcOcHQzfMG0PP4B2UhdFz9R7ZboivuwLj0pHWeu9PM7aqt2xv7m5PrMa8RXE6PsxxNHX_oE5Huf8czSPVHXk5N1uRkDqD26NZFaD_H4SCrYc-1HSKwqVRRGaPf2bKXMYGra7A29iGliIKe6l4kPAjjmGRkIgqiFUGvUQfiFrgClyLpojpWNams-qSz8WuCjFCp1HPOSh4mxwxFPJX0pB18Rkl_4KKxFqfwf7T42sZF5fdk-ljwl-rqkpDbPvFZZyYQwTHbj35R0SHFJg8997nAaeHaexMB5wEbj8gJOlzIWD0_6m3AiPDxjmEXoO9C6GkE2jt6MwT6sbjXKdl6NIbx2klBpEohgROCf1me3oVR0sUtDajuK0SnG0fDgCoWfsgPQQDv-0WoxL1L88BdzCS-wec8OfGK9UQ86ZAuq0rA2h8PI9zuZaQw4t_1mK0anXO33NLYd_QUJM38j-mNM0jW9NCQKuLkbo36T7NAyQQmm7dRRKMcUTDsiudp-bdEwSb5V2AHeNOCNzgRMASjfn_OHFHASxN5sTPNMZnTybNTXEThW4pzpIQFOgvviDdj7vCqooW7ZkjfKNmEL_0QStaE3S1MuEIzIBuznE4N6wHFQEaS8VTzvrjxBQIpVFa08PIDvShpEWUk-iP9IL3cqGSHYauiVeQMIokyQSm5TS9ZNqyKdCEvlu1XoXU3HHXTBx92BzV6IDMsCqrkH5dZlbB7fhH1wxidnFmfOV94sXb_UKJD9H-xWaoCY2T4rj4DAmSlYyPj3p2--b1dZZUsqbrK0JUX5Z9_mc4b4I1OVrx1sTW4nx49-iizNMMIRMTsqEcHSyorfgZHqmVBNd8ZC_MXPqwEl4mO7v5FjLF83GM8jrIsAcsAdiJdflMqSQKLPaHv-9950vZQ2LIYTV_2uuDDn5t6kn9daV2G0qSOo6C8LR3UNr5eHopvJ_34sbSQi9lxSUlIgkJbR4zC0MfDo3rBNokVOiNDuMlO0oqR1YhAFK5sFCW8nyn-iRO0w-nU=,https://shioknest.com/blog/review-waterwoods?lang=,10,0.36,CORAL EDGE LRT STATION (PE3),1.27,FAIRPRICE RIVERVALE PLAZA,0.71,GREENDALE SECONDARY SCHOOL
NUOVO,ANG MO KIO AVENUE 9,20,Executive Condominium,3.0,"3,850",100 to 110,"1,100 to 1,200",Jun-26,569786,1.384367490120189,103.8424103127599,21 ANG MO KIO AVENUE 9 NUOVO SINGAPORE 569786,NUOVO,ANG MO KIO AVENUE 9,NUOVO Singapore,matched,,True,2004,matched,[masked:86a078c0451b],gAAAAABqkEP2v8ry50rNTUcQ4zMuj-fb4hWf5mx_uScayz6AYBa57OLHqigi24T3OPV1CtFKb66KM8mJlCWNGJx-AHJ6xq90lPe5zy-fpg_2dNpE1l-2g4hM_IpExPKWKO-0rHDSZybjrbHS-rZxB8BI0a6Jli2c-2Hr_6pVY_g5j9ZvmqNQbfHK7GeeHZ1qXQyb4TrKSCoWAskkjYENaNkmbckAFkkic0kXaJrlWICyycKUl8FqP-yeO-VwcqEPuxzycPIjwei6-vAyzkV9syprNmYtITFOiUkLhSOl1VByP6HNeP65SD61uh-LlrRZPdD2yGLMV0uaSDKAijlra4nPhUTRq5ogRMCqIFEeH1T6TQB3W5uaiNbTxSrklJ5qXZ9EdVTTWlQczbIjxOUVsIf2f4A4jhRi2Y_LP11oFFqg9ZzFDoOxsaYXi79hh9Q3RCchDpydG36oWB83Ot7VBIeMOvJoJUNqkTnIr4ebQqLpZ_iwdY05EFpi2QbHf0is_tlGfA1pKIki86kPMHd5SIzOnXD1gx0G53WVHnZWFmslKh_ING8wsARAw-u_hq6XFjWF5Ah5iv_GNn3_yvEnSqs6VWX0n_5eHwGQtq43CeXcjLPmXmkHHseKs_ztKtVyyRmhSJfkaB4ExSUu5GFJLKnd5uQGO2IErNAtwkwn9UJgDDwqqmYWmH5IM-YBgV102-oijhc9aZhNUYc-lkil5c7MYboSWtvuAIICGYdzD_pnMVwjEBt09aXX5MvclOjfeFwbahPqRgoWwGNrnrQ0mYlhWgw1wbvnII1wFxobfwNguLDpxiwASCux7nN9PNCJPAfqHPmTZIKlV1Eozb64bT40xk5zWbSiLKyUqBc9Jd6VPvs1pNL5dmvlum8zYtWyoQyi6PVqMG01p3oTzgBOYWubHRpvDrbocyWMNxf3FzFTxK7LzsMJ23eWNcYSr7OYqQtOQJbtnfrBHoFH_VFvoTyvnq62gSRcbGz0wBXIxeqT50HydrTfPBtJo6neZlBELlAhIvABjPmi3N8vxlwhAXgx5yJnxmkDT8LikNTC4LoFgBX1R2mx9FI=,https://buycondo.sg/property/nuovo-condominium/,22,0.4,YIO CHU KANG MRT STATION (NS15),3.43,SHENG SIONG SUPERMARKET,0.11,ANDERSON PRIMARY SCHOOL
SIGNATURE AT YISHUN,YISHUN STREET 51,27,Executive Condominium,3.0,"3,900",80 to 90,"900 to 1,000",Jun-26,768088,1.417484531136986,103.8450374885335,27 YISHUN STREET 51 SIGNATURE AT YISHUN SINGAPORE 768088,SIGNATURE AT YISHUN,YISHUN STREET 51,SIGNATURE AT YISHUN YISHUN STREET 51 27 Singapore,matched,,True,2017,matched,[masked:9058153dfe0d],gAAAAABqkEP2fBOIwszWWzdPHhcC9nL6_CcUQ75Xbu8jxrHRNj70SBQA7UsG35eSn2_hrJzPzxqFcAnd2HM_XUzZyvfQuHWVJQDvZb9CHwXOJsOddKoUp7_7uCV8s6fJhzq-GLBPAuDodc35e4IfZX_kr3N4xvJe0z4qtqifv7Y8K2pHmC7fda65CFB2pB7SP1xcvKID0shZeZ-QJVq-QHzNdZm-LOUIykz6HxjRHNzY5tKrKxHRKD4tQPqBwsDkUcGwHrcrUZXMOV479Ng9GoiwvJx6jFWp_EpdfdQLvcJWHWdBawcUe2TN-beXg2GqIIuxlUevWJBsr9nqoDueLPhkobG4miDjpE0Gfz9VNkuZctPXQ5_boZ9-MlelXMcBDyJXen1kNqTUciLQbz19TYySCxfbdRMt_cpnF20aHloeHE5NnuajBz-bh-sMO2eRDtMwYpe4o8IRzh7zp3gQ0kvbVYhnmKUIKuDVRGxFAbD5HIFWPyb4O0e0uC_YssxeYhTFwYv-i0SaXnGjYBcIM5pwAg4sOb8V8z4oVPSNcCZ5-uHudF2g97bxhGFV_OBKAgllgzFnCHICZmVydXc4GJXVlBUEJKAd8oJL8kU0EZuBSQF9TS2a1jQ2vMFsDGykc4Ob6x3WlhD0nk1Dvj2R6wUOWzwGVO5GC9GXLxwKi8hxEcimIr9BNmYAGObIG0Ma2kZRORCGwe608i7-MKh-xHct9hd87nlgrofdl31Ag9laHPQniOVcH0_r-OSKiAQ3j7kRfWM4YZc2BrToljbo6OPZ61jSxCan9JMrvLj2q3BGPH4QqKIRtEOLMLt5W1EPRUauCv1YyJFfOEE4ZcsyITdR6mT74njBqgpI0HbQVhYSkfmS8iMSeQcTHTD2bhzS02YUa4I-lOe9AV0YyDmWWZRmdi-yWKiSprD4baRWz5d1PfQgbWurcinUGzp6F5UowNRr30MeuqQa0wd_dosrWC8plIvx8M4CaCniMrQOExS4WzkXZe-z-T4xgW6Pp9Et5gEpRXgUKEdPT-eg8GmSm-5LnVbbsh1z5NQzaQrHx3JWA8LfgOmJAgna5MhcSLVKoLn_19PDTMQu,https://shioknest.com/blog/review-signature-at-yishun?lang=,9,1.34,KHATIB MRT STATION (NS14),3.29,FAIRPRICE CANBERRA PLAZA,0.6,NORTHLAND PRIMARY SCHOOL
1 CANBERRA,CANBERRA DRIVE,27,Executive Condominium,3.0,"3,900",90 to 100,"1,000 to 1,100",Jun-26,769989,1.439198583897354,103.8291044492156,27 CANBERRA DRIVE THE WATERGARDENS AT CANBERRA SINGAPORE 769989,THE WATERGARDENS AT CANBERRA,CANBERRA DRIVE,CANBERRA DRIVE 27 Singapore,matched,,True,2026,matched,[masked:c32d85c1f20c],gAAAAABqkEP3GqBgaP2XKf5FXq0fSjo8lOPPsKO9JCC8CnISrBYvY6nPwNXsIKKt8R-NrGxJYBROdVDbIlT4My_LugbXwulHpIaSV-rKlmC_rOfDrdGADTxt-TeWonsIeHMoBaFVvMQ3g-R2XuMR4Ei_NNz5lseIz7-jozUaDfA_oe8OdSLfRrpmsqSxU0-ipZI0dk9LHZNS8QCUgDwJaJjB1np1BMuC6_ajq__z6yNYP5T6maLF20y-AesZXYhEnmnCMrbS1ARZQKvnBogHedId0bSzFYjEg-WMrL2-WtE4GMIwBj4R7Pn_ydqcrWcsqmZU5HMsqQOKY4P-FfJDSXcgfPADCAYrefRWr2NW-pC2fMPDRo4RTFq-6_ofgL3GDm-khy-8MLKnNZInzSXMkn2rTMEesyNrM6M25CXTI-HoVURb6PfYqDKSy1iUXAvDCuCUqI9V4Niyl32PTAgu-uS5jyXmqpmZBT8VURsq3iu68cCBrRsgWhRBGp0UKVNHUgACsPOXPNxTWUDP0B2Cm6ae31eLxdRM3fq7HYWIfxXrRAGLy_Wkxus7sE_hV4g5ffM15srCjDmgl01RU3FVwAZeHRRUkbg47YvREgmzx1iz972DuXRmAB7rok6L_8o4N3eocwxCp49KrdyeYz-21myGuej1IUpwRrGrsk96iOjqtNind99i_THQM9Xy8ZlCQvBYqOERrQlRGLFG-8U50MsP9gRzOeOPk1rgEykf1AVZtbVkrn1fOZOsiQQlKwJgPsipxdjRwHFD3qtKUdwcZeNNBNkOJJvY1scNWCSUuA4ZYtnfHiqmLEWkQ-aeyvKw8uAGZQuPydVXg3Ada0gaLezIEEVB6eL5FSWcRLdIyphnwQTg4Qx6amX2zsCp3DT1M2xxOnuwp22zakastDVi9Tg4aGdlwchEGImu5gKZPZ2MwqQtF4WxNNmQVLmB9AOzokwwbUGzaCbG3vzm16qeAWAIMZM2qxpTlvldrg5Y59q4JoeeMMeJjzcl2k6xG4qjnJo8n4J-wCbsUL7eQMVtNTCKi2IlwVKUBBT7ZSOfm-T469TmVn09eANqDinyrTqJ0cfj9MbSEoZO34QXjzet3Bz7pCPeGeAzDw==,https://c28221cc-f81c-451a-8981-b69bdb06be0c.property65.sg/the-watergardens-at-canberra-d27-71-85-230-245,0,0.44,CANBERRA MRT STATION (NS12),0.48,FAIRPRICE CANBERRA PLAZA,1.28,NORTHLAND SECONDARY SCHOOL
THE TAMPINES TRILLIANT,TAMPINES CENTRAL 7,18,Executive Condominium,3.0,"3,900",80 to 90,800 to 900,Jun-26,528769,1.358923390077015,103.9404983837918,11 TAMPINES CENTRAL 7 THE TAMPINES TRILLIANT SINGAPORE 528769,THE TAMPINES TRILLIANT,TAMPINES CENTRAL 7,THE TAMPINES TRILLIANT Singapore,matched,,True,2015,matched,[masked:780853c434b4],gAAAAABqkEP3EOhkbooHN2I6Cf09I0VKpqjw4E7dKmobInYUbYa_lsf014SjJ3_t9_E0-hl8anIeZ0_HV1vWbHNglA64ytVEecxqRlwehEeZKw0GzDOg06VtUt_dIJq-eAKbnr_cGzNLxywXWVARTKwiNaYgiMpyflvT8rxlc7W6YE9tDIAteuk8DN4flNyTwMzMS8vbzBPICq7wE4CKxMErB6bgdAwdfG9iOTysynaEfC8p7lyYUUuVKwayQE_XpuDA-8xAZ69EOxaBEzWb22GSnbdTS8SlNwBrtun1Qp90sLk650GivejeOpeZ9NB35tw4bKqNG4T2WebJkxajOmXJXT3dgmBmuX2EAJdcIxvh_Q6au7CVQ_Uytz0aHTaya2bza4FbHwjK-Mb01xOf5mB6o_FwcEh8-r5kNv7naeGnQpBEdTc_Py76IrshswIKjmTNVf7yqxV9SyKgbS9XzBKAXdvYnUpisbFY8XoIP5CdvdPwokyuVS38BpebyiehHcfpFCZ8AYIajJaT4JgT-QQepvUHMGIjJr-_U6e2xjwvhHqb_ARssW-eflB47YRdBnbAPKoar11rFOfsveAmhQbOTbt9_8GN2rZ0tb__7HsBaj3_aueuZSA9FeRipimSzvXvf0owzNWNSa_fjGCfwFyw20L8GuJheUWRaBqQzVua8J7n1SVowcXDGEqm2TvQci3pOS05hPMCRluJbhlFYTTpWVOeo-eDOkC4voLNrk-bzp7G5VCcVX19_AQOzMQtusF17UnJzRxCqoxoc5UstLD2YXJQQS25fs1isLhGPdBIYiAVvN4E7nAP4x7MZhYOEzK7B6ivxLkYNsdEksZHRnz-MmK79juTJUstc7czunIgpC9QprRsxdR5nttJY_NJImfXAzzN7gsT3UFx3F_cuRSeevGgUfc4nvJoYFh3f6dYGmj9QqN2uPgVL9SxqoZuMDvMnt2uVbsCGgE9Wq3HJUYsDU_YpDrfxuckWw9FdlknY47b5PuecllAOpm7yckYWwAvzRxuqC35kwfm5NprwynC83bWD27JRtrDgLYAYiUqlgtO5Hz-1CURAv9IoYpsukJIfsn3K7Wm,https://99.co/singapore/condos-apartments/the-tampines-trilliant,11,1.51,TAMPINES WEST MRT STATION (DT31),0.76,NTUC FAIRPRICE TAMPINES CENTRAL COMMUNITY COMPLEX,0.55,ANGSANA PRIMARY SCHOOL
TWIN WATERFALLS,PUNGGOL WALK,19,Executive Condominium,3.0,"3,800",80 to 90,"900 to 1,000",Jun-26,828748,1.390654591613188,103.9127525677816,19 PUNGGOL FIELD WALK WATERWOODS SINGAPORE 828748,WATERWOODS,PUNGGOL FIELD WALK,PUNGGOL WALK 19 Singapore,matched,,True,2015,matched,[masked:2d0346a91b26],gAAAAABqkEP3-E8QJ0SIqJ0Q0KJLrTwzmWkKkKXEOFKO0Tb0cTrXxrS66cJucRNuxHCE-fCK7Qc8c32N1b-q9pS3LVuu8p-paJeQie1hj3C81nlJi6uzWEGgCrQVKvyzzQ37DT9zHi_4CXIqNppPYOMt31v18WmC8K4lg_1oZzb1uCpx8476XYgAKcR04-ABHKM8H9WrbFqu_xYTfkWKJmGecjlZMtX3VJ-7yKW7mL_PpO26yUnGy27l4jkpX4jNj-JYb_4wGXndcYW-N5vBJAQ7k0qelNf21ZOuqTGaWULIR27vHc1zC8-ie_psVdAZms0MOmiM_BIQ_VHWzqDNElGQI-VTjjxBZfSqt8QqmvfWGkZ1U7NlYS4PEXp80dyspNVnEP04E6NNGFDAuJMP49AunvK_c2B1tJV5NwOcNDPMlLnaqid774x8D3lo-6U3Fs05g6pd3ID6Yu3sg9Ag3lR7fKb7mqrS4miEaapwSB2_6_m7deaMt5ZFgRwBe_AIJ7m6HaA0fzkeKlTTp-1pLMEJvj6l618TJCUSdy-FBZ-VhDrDRH5QOV1fLhzLnMdM4o9YtKjZG2o91F5IZlK2e5zQ9cjotRAl7ALXk4seYAr6RMQgDykURSeQxdeXkUL_wp6MIlPmnr40GTZerhCVW471YMZM4KkHBQyzr-NUKW7ZMX6BECTrrDIimkuLDhXiYdBLLVN0n73ObZRNOm84ITnkmmWRFY6NAU51HldCkm8YC2rWyhPrmtnolo7qDDiGFHy1N_Ssn8ChcLjWZJO1nM8_SwLgCkljqTWv7-Y4QdDRH6rFq578yr5fev86PJCLp5PW8aVluUsl-RTYAPC8ayfzqBQ3L7hB8d9r96b_5h4-nlmBHu0pjuhlQqnyxs7Q68cJaCAcekqMUiq3F5IzwrWHJC59Ur1bAkBI7k06r9nPSZNlAnXBBtDakiwcnodMpKLEUzKnsF9ZbeJLTCIj_PK44JcJErHGgbC1WAwuEjI0xDVIOSWOaTGwZ1jmB5PQkuZNse2D3ASdVEW2PamOW1rvLdL2hGVv76Sv9SJtjcSkNbRutVLXoM4=,https://propkaki.com/condo/waterwoods,11,0.36,CORAL EDGE LRT STATION (PE3),1.27,FAIRPRICE RIVERVALE PLAZA,0.71,GREENDALE SECONDARY SCHOOL
ARC AT TAMPINES,TAMPINES AVENUE 8,18,Executive Condominium,3.0,"3,350",110 to 120,"1,200 to 1,300",Jun-26,529595,1.349722447088601,103.9278360189049,3 TAMPINES AVENUE 8 ARC AT TAMPINES SINGAPORE 529595,ARC AT TAMPINES,TAMPINES AVENUE 8,ARC AT TAMPINES Singapore,matched,,True,2014,matched,[masked:8e3ff8c96f8c],gAAAAABqkEP40pnFH-74-Ltm4RghhRZ6KdBNyoFeiz130mavpWTYUBgIRwN6tzMB41YyBUpamHK3VL7QykwMBkNH0cUp35PviBIDMWbe87oZldFmdY4UX0_oZn-MnztKv1Xqh-pR9br7Vm1LWxQcjxRg7axXc5hftJ-JdQGo6QWVJysdwc4Nckk2oHKs5F2zdh-hdifLRjUmcKPrqvCXmduvUibD3575mi1Zu7oPnHqdu6M4tzyLnPzopOK8Ds9nvemYXOgQAzgq2wDoT6pYsBngWvqvuWjErOiWKsexFEzVdMT1IoYB29dHeqbNg_Tj3IJKBzN3EojWtm6_jeLgkueftSa042WToh1yuSjjxGFZaGWlkJhOOJugdYwHx6RPf3RgaUzc7QyZk__5-NRVRX4BxDvjtzsFNL5iqiBZkOs6jbO8MeO-w_J6MFRht7IU340pt9Yw5QAIUwT9R8JdS_IdNB5281jMKiZDyfTh5bbE_qVRUPaTYtIsP7Sf8oadT5I6IK5GQFz6f_OfS365AEK2R_cj-gHbfYoDUgubI6VjngOzBIepY3jD2Vnj3_xrml5RXeemAOl8FzGqQM5gDh6qx5A988VmS-pJ8EEsYiuWe_M1nZk9odNdg32YksCjrqxsgU_c5-Md33UXvxNacJ2_OKPFqgAlvoSNUXp7kW-qmWkpKyF7qC3lrQ1CVIPCpMYXjVntKspH5x4DeCjcg4RoPAlqiWVrG2W2lLlX33v3Ga65pf2c4A6xxGzeHlviAh42OK8BXAPljzMr_3mes2a5w-gJVTNVjw6hKaMet0DMOphx8WG2jsHW_J-nRPoPjlz6eQgicD_czZP2ZtHmltcOrNyri1wgeJm0wfF_pEn7Wb57WsjwB11qFqNvKvJfZQQfq7McTPq5msb7zwBvp3Ueg1vcjyIAB7kshVv2wi2ziGewAW7YLWSZxOR91CA7VgiVbslId-A1J1jLtG4V4IxjbX93RXAcmNUzMJGvT7LphIwVMjddrRdUGNqlemXceDjoalwx_EaSz0dHoTU6-iVIsbIvQPio9briLaJnKMIWuzipWoRXNcE=,https://99.co/singapore/condos-apartments/arc-at-tampines,12,1.27,TAMPINES WEST MRT STATION (DT31),0.99,NTUC FAIRPRICE TAMPINES CENTRAL COMMUNITY COMPLEX,0.28,SPRINGFIELD SECONDARY SCHOOL
